name,releaseDate,copiesSold,price,revenue,avgPlaytime,reviewScore,publisherClass,publishers,developers,steamId
grim realms,2024-03-16,7912,14.99,60485.0,22.21024111991872,81,indie,edym pixels,edym pixels,1522280
dragon island,2024-03-11,4540,15.99,60119.0,5.27832271072752,49,indie,kulplant,kulplant,1554470
vendir: plague of lies,2024-05-30,5394,14.99,60002.0,7.874389589473117,77,indie,early morning studio,early morning studio,1478850
tfc: the fertile crescent,2024-06-13,6084,14.99,59978.0,9.141889553317936,93,indie,wield interactive,wield interactive,1674820
quest master,2024-05-29,3682,19.99,59887.0,14.166458476302155,98,indie,apogee entertainment,"julian creutz,skydevilpalm",2094070
the quintessential quintuplets - memories of a quintessential summer,2024-05-23,2062,34.99,59790.0,6.669112171149566,94,aa,"spike chunsoft co., ltd.",mages. inc.,2507610
venture to the vile,2024-05-21,2933,24.99,59625.0,8.214971200602747,75,indie,aniplex inc.,studio cut to bits,2153750
victory at sea atlantic - world war ii naval warfare,2024-04-05,1822,39.99,59473.0,6.743969006148069,65,indie,evil twin artworks,evil twin artworks,1674830
the world's egg - for those who dream,2024-03-29,6239,12.99,59464.0,3.5879581457102465,84,indie,kagura games,hasoyua,2614670
lunar's chosen - episode 2,2024-03-28,5851,11.99,59390.0,2.801292567449313,72,indie,ptgames,ptgames,2697200
be my horde,2024-06-18,13942,4.99,59326.0,4.340932988101288,88,indie,polished games,polished games,2499520
king of the bridge,2024-03-08,21749,2.99,59016.0,2.2387116478207623,96,indie,finn schuuring,finn schuuring,2523120
inkbound,2024-04-09,156820,29.99,3139302.0,29.459680253104807,91,indie,shiny shoe,shiny shoe,1062810
sky: children of the light,2024-04-10,529290,0.0,3087626.0,30.47269156154372,84,indie,thatgamecompany,thatgamecompany,2325290
古龙风云录,2024-02-01,158807,29.99,3080764.0,21.370174186118447,60,indie,心火游戏,香港商河洛互動娛樂股份有限公司,2340650
hellcard,2024-02-01,208084,24.99,3008517.0,15.293875870297132,85,indie,"skystone games,surefire.games",thing trunk,1201540
aska,2024-06-20,147273,24.99,2986028.0,30.71361641191253,79,indie,thunderful publishing,sand sailor studio,1898300
smite 2,2024-08-27,110462,29.99,2981479.0,8.86584602378419,56,aa,hi-rez studios,titan forge games,2437170
legendary tales,2024-02-08,88603,54.99,2934588.0,7.76449813405446,79,indie,urban wolf games inc.,urban wolf games inc.,1465070
visions of mana,2024-08-29,52728,59.99,2846837.0,12.066746016802458,86,aa,square enix,square enix,2490990
summer clover,2024-06-26,181429,17.99,2827661.0,8.280402546996685,99,indie,"mango party,mango party news",connection,2458860
rabbit and steel,2024-05-09,213267,14.99,2771018.0,14.014176071536836,97,indie,mino_dev,mino_dev,2132850
drug dealer simulator 2,2024-06-20,131611,24.99,2766205.0,25.364534425604138,73,indie,movie games s.a.,byterunners,1708850
expeditions: a mudrunner game,2024-03-05,75673,39.99,2739562.0,17.571686825136506,55,aa,focus entertainment,saber interactive,2477340
millennia,2024-03-26,77085,39.99,2689142.0,49.30417037222121,68,aaa,paradox interactive,c prompt games,1268590
the lost village,2024-04-07,312901,11.99,2686565.0,5.463333333333334,0,indie,funyoo games,funyoo games,1963040
stolen realm,2024-03-08,181670,19.99,2678385.0,21.723225997502364,88,indie,burst2flame entertainment,burst2flame entertainment,1330000
lost castle 2,2024-07-24,211121,14.99,2657104.0,12.847294015384946,0,indie,hunter studio,hunter studio,2445690
mad island,2024-05-23,155931,19.99,2639042.0,20.123733557370457,94,indie,emadeplus,emadeplus,2739590
吞食天地2：誕生reborn,2024-02-16,28202,0.0,2562503.7123580766,239.43979712743936,42,indie,chinesegamer,chinesegamer,2396910
still wakes the deep,2024-06-18,90219,34.99,2562417.0,3.234570533404696,90,indie,secret mode,the chinese room,1622910
下一站江湖ⅱ,2024-04-17,136951,24.99,2547970.0,18.75933270283221,72,indie,白玉京工作室,白玉京工作室,1606180
murders on the yangtze river,2024-01-30,262661,14.99,2512969.0,8.649804472983394,98,indie,"omegames studio,npc entertainment",omegames studio,1746030
foundry,2024-05-02,97098,29.99,2465573.0,32.351466509154854,84,aaa,paradox interactive,channel 3 entertainment,983870
astra: knights of veda,2024-04-01,168093,0.0,2460116.0,50.12468120096058,42,indie,hybe im,flint,2484250
